behaviorSpaceRun,moranI,terr,mem,numPred
78,0.2333011431906093,None,Individual,2
79,0.23405838619505723,None,Individual,2
80,0.24302150283354954,None,Individual,2
81,0.2106736283102225,None,Individual,2
82,0.23298517909547878,None,Individual,2
83,0.22709141457552373,None,Individual,2
84,0.2179861521713839,None,Individual,2
85,0.2533752325701184,None,Individual,2
86,0.23874609157604365,None,Individual,2
87,0.2198050696901826,None,Individual,2
88,0.24685252936079727,None,Individual,2
89,0.24767384081864763,None,Individual,2
90,0.25333308546208344,None,Individual,2
91,0.22338949222038632,None,Individual,2
92,0.22365501919668468,None,Individual,2
93,0.24868343310802218,None,Individual,2
94,0.20849633737087697,None,Individual,2
95,0.22830943373009274,None,Individual,2
96,0.2231244991714998,None,Individual,2
97,0.21810484099057822,None,Individual,2
98,0.23436048682624397,None,Individual,2
99,0.26179044516313715,None,Individual,2
100,0.25805911848015606,None,Individual,2
101,0.22853001329269748,None,Individual,3
102,0.1948599602250351,None,Individual,3
103,0.19444600526377057,None,Individual,3
104,0.2206768766979639,None,Individual,3
105,0.21687880500638362,None,Individual,3
106,0.2455843119698979,None,Individual,3
107,0.21774453504449479,None,Individual,3
108,0.22503857182202994,None,Individual,3
109,0.2031476714458448,None,Individual,3
110,0.2271585588194551,None,Individual,3
111,0.23479305518991891,None,Individual,3
112,0.22343037843587937,None,Individual,3
113,0.21644499720293375,None,Individual,3
114,0.21572302364257304,None,Individual,3
115,0.219584180049745,None,Individual,3
116,0.22021989237213935,None,Individual,3
117,0.21797502716531217,None,Individual,3
118,0.22692833089941547,None,Individual,3
119,0.2318411820179081,None,Individual,3
120,0.22333027065744335,None,Individual,3
121,0.2044011657976627,None,Individual,3
122,0.216644507046353,None,Individual,3
123,0.21021305539340912,None,Individual,3
124,0.2251601744702626,None,Individual,3
125,0.2210458157687563,None,Individual,3
126,0.193690708769308,None,Individual,3
127,0.2070029363132826,None,Individual,3
128,0.21489101560551244,None,Individual,3
129,0.23166964381216262,None,Individual,3
130,0.22112647513205208,None,Individual,3
131,0.20980265014387472,None,Individual,3
132,0.23519394828667603,None,Individual,3
133,0.21326692352936794,None,Individual,3
134,0.20297406476394061,None,Individual,3
135,0.184090711170689,None,Individual,3
136,0.2344594637982887,None,Individual,3
137,0.21996510454583257,None,Individual,3
138,0.23429393335110663,None,Individual,3
139,0.19815567532795092,None,Individual,3
140,0.2129095264031615,None,Individual,3
141,0.2471950072645883,None,Individual,3
142,0.23637071903364648,None,Individual,3
143,0.22411398459623358,None,Individual,3
144,0.20075893705875897,None,Individual,3
145,0.2103436208863485,None,Individual,3
146,0.23700538574218435,None,Individual,3
147,0.20441234259861976,None,Individual,3
148,0.22274453285438645,None,Individual,3
149,0.21326025811407287,None,Individual,3
150,0.2181021439190283,None,Individual,3
151,0.21241330032084094,None,Individual,4
152,0.1915437022318757,None,Individual,4
153,0.22580670895892038,None,Individual,4
154,0.21302121292609794,None,Individual,4
155,0.14718352935963724,None,Individual,4
156,0.18767957457823206,None,Individual,4
157,0.1734363079907923,None,Individual,4
158,0.21551430847209185,None,Individual,4
159,0.1792587191591536,None,Individual,4
160,0.20698433409121275,None,Individual,4
161,0.18925453384763657,None,Individual,4
162,0.1922406104003179,None,Individual,4
163,0.18205343045379008,None,Individual,4
164,0.22288472462310643,None,Individual,4
165,0.21578205086582605,None,Individual,4
166,0.21513108887894758,None,Individual,4
167,0.17597352655405835,None,Individual,4
